<music21.chord.Chord A4 B-4>|<music21.note.Rest rest>
<music21.chord.Chord F2 E-4 E4 A4>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord F2 E-4 F4 G4>|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord F2 G4>|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord F2 G4 D5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
<music21.chord.Chord B-2 G4 D5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord B-2 F4 G4 B-4 D5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord B-2 F4 G4 B-4 D5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord B-2 F4 G4 B-4 D5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord B-2 F4 G4 B-4 D5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
<music21.chord.Chord C3 F4 G4 B-4 D5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord C3 F4 G4 B-4 D5>|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord C3 F4 B-4 C5 D5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord C3 C5 E5>|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord C3 F5>|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord C3 F5 G5>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
